customerid,churn,age,gender,tenure,numofproducts,estimatedsalary
15634602,1,42,Female,2,1,101348.88
15647311,0,41,Female,1,1,112542.58
15619304,1,42,Female,8,3,113931.57
15701354,0,39,Female,1,2,93826.63
15737888,0,43,Female,2,1,79084.1
15574012,1,44,Male,8,2,149756.71
15592531,0,50,Male,7,2,10062.8
15656148,1,29,Female,4,4,119346.88
15792365,0,44,Male,4,2,74940.5
15592389,0,27,Male,2,1,71725.73
15767821,0,31,Male,6,2,80181.12
15737173,0,24,Male,3,2,76390.01
15632264,0,34,Female,10,2,26260.98
15691483,0,25,Female,5,2,190857.79
15600882,0,35,Female,7,2,65951.65
15643966,0,45,Male,3,2,64327.26
15737452,1,58,Male,1,1,5097.67
15788218,0,24,Female,9,2,14406.41
15661507,0,45,Male,6,1,158684.81
15568982,0,24,Female,6,2,54724.03
15577657,0,41,Male,8,2,170886.17
15597945,0,32,Female,8,2,138555.46
15699309,1,38,Female,4,1,118913.53
15725737,0,46,Male,3,2,8487.75
15625047,0,38,Female,5,1,187616.16
15738191,0,25,Male,3,2,124508.29
15736816,0,36,Male,2,1,170041.95
15700772,0,44,Male,9,2,38433.35
15728693,0,43,Female,3,1,100187.43
15656300,0,29,Male,0,2,53483.21
15589475,1,39,Female,3,3,140469.38
15706552,0,36,Male,7,1,156731.91
15750181,0,41,Male,9,2,81898.81
15659428,0,42,Female,6,2,34410.55
15732963,0,29,Female,9,2,142033.07
15794171,1,45,Female,0,1,27822.99
15788448,0,31,Male,3,1,114066.77
15729599,0,33,Male,7,1,98453.45
15717426,0,36,Male,7,1,40812.9
15585768,0,41,Male,6,2,178074.04
15619360,0,40,Male,4,1,70154.22
15738148,1,51,Female,8,1,181297.65
15687946,0,61,Female,2,1,94153.83
15755196,1,49,Female,2,1,194365.76
15684171,0,61,Female,5,1,158338.39
15754849,0,32,Female,4,2,126517.46
15602280,1,27,Female,9,1,119708.21
15771573,1,39,Female,9,1,117622.8
15766205,0,38,Male,2,1,90878.13
15771873,0,37,Female,2,2,194099.12
15616550,0,44,Male,10,2,198059.16
15768193,0,36,Male,5,2,86424.57
15683553,0,33,Female,5,2,116978.19
15702298,1,41,Male,8,1,164040.94
15569590,1,42,Male,1,1,40014.76
15760861,0,43,Male,1,1,113410.49
15630053,0,45,Male,5,1,87107.57
15647091,0,19,Male,0,1,45613.75
15623944,1,66,Female,4,1,1643.11
15804771,0,51,Male,4,1,46775.28
15651280,0,35,Male,5,1,84509.57
15773469,0,27,Female,9,2,126494.82
15702014,0,33,Male,1,2,178798.13
15751208,0,56,Male,8,1,99398.36
15592461,0,26,Male,4,1,92840.67
15789484,0,36,Female,6,2,27758.36
15696061,0,34,Female,1,1,110431.51
15641582,0,43,Male,10,2,196673.28
15638424,0,35,Female,5,2,113656.85
15755648,0,21,Female,8,1,18203.0
15703793,1,58,Male,2,4,28373.86
15620344,0,29,Male,6,1,33953.87
15812518,0,37,Female,0,1,44203.55
15779052,0,25,Female,5,2,58426.81
15770811,0,36,Male,9,2,145562.4
15780961,0,21,Female,1,2,22388.0
15614049,0,55,Male,8,2,139161.64
15662085,0,32,Female,9,1,148210.64
15575185,0,33,Male,5,1,194239.63
15803136,0,41,Female,10,2,98301.61
15706021,0,34,Female,1,2,171413.66
15663706,1,32,Female,2,1,136458.19
15641732,0,36,Female,3,2,26019.59
15701164,0,34,Female,4,1,159235.29
15738751,0,46,Female,4,2,1907.66
15805254,0,75,Female,10,2,114675.75
15762418,1,22,Male,3,1,128643.35
15625759,0,30,Male,9,2,151869.35
15622897,1,46,Female,4,3,93251.42
15767954,0,28,Female,3,2,156791.36
15757535,1,44,Female,5,3,174205.22
15731511,0,45,Male,7,2,147132.46
15809248,0,36,Female,10,2,109614.57
15640635,0,29,Male,8,2,172290.61
15676966,0,42,Male,4,2,85982.47
15699461,0,35,Male,10,1,121277.78
15738721,0,41,Male,9,1,64595.25
15693683,0,29,Male,8,2,197276.13
15604348,0,22,Male,8,2,99645.04
15633059,0,34,Male,9,2,6534.18
15808582,0,40,Female,6,1,161848.03
15743192,0,44,Female,6,2,167162.43
15580146,0,31,Male,9,1,41970.72
15776605,0,36,Male,7,2,60536.56
15804919,1,65,Female,1,1,177655.68
15613854,1,46,Female,4,2,30984.59
15599195,0,32,Male,1,1,10054.53
15812878,0,36,Female,2,1,36976.52
15602312,0,33,Male,5,1,71862.79
15744689,1,35,Male,9,1,99449.86
15803526,0,30,Male,3,1,63082.88
15665790,0,39,Male,7,2,27231.26
15715951,0,42,Male,2,1,86797.41
15591100,0,36,Male,9,1,22994.32
15609618,1,28,Male,9,2,101300.94
15675522,0,30,Female,9,2,74169.13
15705512,0,37,Female,6,1,115638.29
15698028,0,41,Female,1,2,31766.3
15661670,1,31,Female,8,1,199725.39
15600781,0,34,Male,4,2,120834.48
15682472,0,34,Male,8,2,38131.77
15580203,0,39,Male,6,1,100130.95
15690673,0,39,Female,6,2,141069.88
15760085,0,48,Female,10,1,198129.36
15779659,0,28,Female,3,1,183646.41
